Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	03d1efbf-04cf-41ce-9f83-e1e9cbc1c15d
Plate Name	OPP_6hstarvation_04.08.23
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	6	1	0	951,138176111	285,997839976	1102369,14611	2525,35396941	307,342016238	935,897793036	496,050043141	178,709196093	574922	1776	144	488	9	3	0	0					
5	7	1	0	926,256718509	221,060134942	1004988,53958	2173,93774044	334,884226269	941,971931422	473,058986175	115,270099243	513269	1181	150	489	9	3	0	0					
5	8	1	0	934,451319154	218,634880218	1151244,0252	1643,52190247	258,269513159	939,719671765	466,685876623	108,943778621	574957	827	129	481	9	3	0	0					
5	9	1	0	821,290275561	203,872665621	1298459,92566	1873,22169059	296,692806422	824,190846599	449,537634409	106,988355603	710719	841	110	464	9	3	0	0					
5	10	1	0	770,528292279	202,013971955	628751,0865	1969,32331512	282,273401963	768,268858249	415,859068627	93,7263658088	339341	734	158	430	9	3	0	0					
5	11	1	0	792,801402965	216,129753372	707971,652848	2054,38542926	222,98767789	794,211205559	430,536394177	112,715464157	384469	845	140	444	9	3	0	0					
6	2	1	0	845,341602927	288,566456688	603573,90449	2639,54046659	292,955577918	811,124058832	438,56302521	154,434904672	313134	1532	158	431	9	3	0	0					
6	3	1	0	876,427115082	294,151021763	868539,271046	2808,71742313	257,675439468	849,154207666	462,364278507	155,094013507	458203	1485	123	458	9	3	0	0					
6	4	1	0	957,607469084	318,269240012	1063901,89815	3052,02680879	284,323658927	922,379752852	480,060306031	175,23914923	533347	1945	156	466	9	3	0	0					
6	5	1	0	951,83029494	295,776670722	1009891,94293	2658,94428603	307,94488684	926,281117564	488,635249764	164,635852722	518442	1899	133	490	9	3	0	0					
6	6	1	0	1152,81098424	340,831414415	1087100,75814	2777,0344602	212,422929936	1126,88713962	487,749734889	166,775485508	459948	1652	132	480	9	3	0	0					
6	7	1	0	1197,39669196	404,937591474	1124355,49375	3012,52074057	396,247478475	1155,31350062	511,877529286	204,168820244	480653	1602	115	484	9	3	0	0					
