Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3,467	-0,2081	7,82			
3,483	-0,2082	7,74			
3,500	-0,2083	7,65			
3,517	-0,2085	7,55			
3,533	-0,2096	7,48			
3,550	-0,2113	7,42			
3,567	-0,2129	7,35			
3,583	-0,2140	7,28			
3,600	-0,2148	7,21			
3,617	-0,2153	7,18			
3,633	-0,2156	7,15			
3,650	-0,2159	7,10			
3,667	-0,2160	7,05			
3,683	-0,2162	6,98			
3,700	-0,2164	6,94			
3,717	-0,2165	6,93			
3,733	-0,2166	6,89			
3,750	-0,2167	6,84			
3,767	-0,2167	6,82			
3,783	-0,2168	6,79			
3,800	-0,2168	6,76			
3,817	-0,2169	6,69			
3,833	-0,2170	6,69			
3,850	-0,2171	6,67			
3,867	-0,2171	6,64			
3,883	-0,2172	6,66			
3,900	-0,2173	6,62			
3,917	-0,2173	6,61			
3,933	-0,2174	6,59			
3,950	-0,2174	6,59			
3,967	-0,2175	6,57			
3,983	-0,2176	6,56			
4,000	-0,2176	6,56			
4,017	-0,2176	6,56			
4,033	-0,2176	6,52			
4,050	-0,2176	6,50			
4,067	-0,2176	6,50			
4,083	-0,2176	6,50			
4,100	-0,2177	6,47			
4,117	-0,2177	6,47			
4,133	-0,2177	6,45			
4,150	-0,2177	6,45			
4,167	-0,2178	6,45			
4,183	-0,2178	6,44			
4,200	-0,2178	6,44			
4,217	-0,2178	6,44			
4,233	-0,2178	6,42			
4,250	-0,2178	6,42			
4,267	-0,2178	6,40			
4,283	-0,2179	6,40			
4,300	-0,2179	6,39			
4,317	-0,2179	6,40			
4,333	-0,2180	6,40			
