Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	0,0366	21,58			
0,017	0,0926	21,70			
0,033	0,1201	21,78			
0,050	0,0968	21,85			
0,067	0,0650	21,92			
0,083	0,0625	21,98			
0,100	0,0673	22,08			
0,117	0,0183	22,13			
0,133	-0,0829	22,17			
0,150	-0,1477	22,13			
0,167	-0,1679	21,97			
0,183	-0,1766	21,90			
0,200	-0,1854	17,89			
0,217	-0,1942	6,52			
0,233	-0,2009	7,18			
0,250	-0,2063	17,19			
0,267	-0,2102	20,42			
0,283	-0,2136	20,98			
0,300	-0,2166	20,98			
0,317	-0,2190	20,88			
0,333	-0,2209	20,78			
0,350	-0,2223	20,70			
0,367	-0,2238	20,58			
0,383	-0,2252	20,43			
0,400	-0,2261	20,28			
0,417	-0,2266	20,15			
0,433	-0,2271	20,00			
0,450	-0,2275	19,93			
0,467	-0,2279	19,78			
0,483	-0,2281	19,67			
0,500	-0,2279	19,57			
0,517	-0,2272	19,47			
0,533	-0,2260	19,39			
0,550	-0,2242	19,29			
0,567	-0,2222	19,19			
0,583	-0,2201	19,09			
0,600	-0,2181	18,99			
0,617	-0,2161	18,89			
0,633	-0,2146	18,79			
0,650	-0,2135	18,70			
0,667	-0,2128	18,62			
0,683	-0,2126	18,54			
0,700	-0,2131	18,44			
0,717	-0,2144	18,34			
0,733	-0,2162	18,25			
0,750	-0,2185	18,17			
0,767	-0,2209	18,09			
0,783	-0,2233	18,01			
0,800	-0,2254	17,98			
0,817	-0,2271	17,90			
0,833	-0,2284	17,83			
0,850	-0,2294	17,77			
0,867	-0,2301	17,70			
0,883	-0,2305	17,65			
0,900	-0,2306	17,57			
0,917	-0,2302	17,48			
0,933	-0,2293	17,46			
0,950	-0,2279	17,40			
0,967	-0,2260	17,33			
0,983	-0,2236	17,26			
1,000	-0,2208	17,21			
1,017	-0,2177	17,16			
1,033	-0,2146	17,08			
1,050	-0,2117	17,01			
1,067	-0,2092	16,95			
1,083	-0,2074	16,90			
1,100	-0,2066	16,86			
1,117	-0,2066	16,79			
1,133	-0,2076	16,72			
1,150	-0,2094	16,67			
1,167	-0,2118	16,62			
1,183	-0,2145	16,59			
1,200	-0,2173	16,54			
1,217	-0,2200	16,49			
1,233	-0,2222	16,44			
1,250	-0,2238	16,37			
1,267	-0,2249	16,29			
1,283	-0,2253	16,23			
1,300	-0,2250	16,16			
1,317	-0,2237	16,11			
1,333	-0,2212	16,05			
1,350	-0,2179	15,98			
1,367	-0,2147	15,93			
1,383	-0,2132	15,88			
1,400	-0,2099	15,83			
1,417	-0,2041	15,76			
1,433	-0,2005	15,73			
1,450	-0,1988	15,68			
1,467	-0,1990	15,63			
1,483	-0,2007	15,56			
1,500	-0,2036	15,54			
1,517	-0,2071	15,49			
1,533	-0,2106	15,43			
1,550	-0,2137	15,40			
1,567	-0,2161	15,33			
1,583	-0,2179	15,28			
1,600	-0,2194	15,23			
1,617	-0,2208	15,20			
1,633	-0,2221	15,15			
1,650	-0,2234	15,12			
1,667	-0,2245	15,05			
1,683	-0,2255	14,98			
1,700	-0,2263	14,93			
1,717	-0,2270	14,88			
1,733	-0,2275	14,86			
1,750	-0,2280	14,82			
1,767	-0,2283	14,74			
1,783	-0,2285	14,69			
1,800	-0,2287	14,64			
1,817	-0,2288	14,60			
1,833	-0,2289	14,54			
1,850	-0,2290	14,47			
1,867	-0,2289	14,43			
1,883	-0,2289	14,35			
1,900	-0,2288	14,30			
1,917	-0,2286	14,27			
1,933	-0,2283	14,20			
1,950	-0,2279	14,17			
1,967	-0,2273	14,11			
1,983	-0,2267	14,03			
2,000	-0,2259	13,96			
2,017	-0,2252	13,94			
2,033	-0,2246	13,90			
2,050	-0,2241	13,85			
2,067	-0,2239	13,80			
2,083	-0,2239	13,75			
2,100	-0,2242	13,68			
2,117	-0,2246	13,62			
2,133	-0,2251	13,57			
2,150	-0,2255	13,52			
2,167	-0,2258	13,45			
2,183	-0,2260	13,40			
2,200	-0,2261	13,31			
2,217	-0,2262	13,26			
2,233	-0,2262	13,21			
2,250	-0,2263	13,14			
2,267	-0,2264	13,08			
2,283	-0,2266	13,01			
2,300	-0,2267	12,96			
2,317	-0,2268	12,89			
2,333	-0,2269	12,82			
2,350	-0,2269	12,77			
2,367	-0,2266	12,72			
2,383	-0,2261	12,66			
2,400	-0,2253	12,59			
2,417	-0,2243	12,52			
2,433	-0,2232	12,49			
2,450	-0,2222	12,44			
2,467	-0,2216	12,37			
2,483	-0,2215	12,32			
2,500	-0,2216	12,27			
2,517	-0,2221	12,18			
2,533	-0,2225	12,13			
2,550	-0,2229	12,07			
2,567	-0,2232	12,00			
2,583	-0,2236	11,93			
2,600	-0,2239	11,88			
2,617	-0,2242	11,80			
2,633	-0,2245	11,73			
2,650	-0,2246	11,68			
2,667	-0,2246	11,63			
2,683	-0,2243	11,58			
2,700	-0,2237	11,51			
2,717	-0,2228	11,48			
2,733	-0,2218	11,44			
2,750	-0,2207	11,39			
2,767	-0,2199	11,32			
2,783	-0,2196	11,27			
2,800	-0,2196	11,22			
2,817	-0,2200	11,17			
2,833	-0,2204	11,12			
2,850	-0,2208	11,05			
2,867	-0,2211	10,99			
2,883	-0,2214	10,94			
2,900	-0,2214	10,87			
2,917	-0,2212	10,83			
2,933	-0,2206	10,76			
2,950	-0,2196	10,69			
2,967	-0,2185	10,64			
2,983	-0,2176	10,56			
3,000	-0,2172	10,47			
3,017	-0,2172	10,41			
3,033	-0,2174	10,32			
3,050	-0,2176	10,24			
3,067	-0,2176	10,15			
3,083	-0,2171	10,07			
3,100	-0,2162	9,97			
3,117	-0,2152	9,88			
3,133	-0,2145	9,80			
3,150	-0,2142	9,70			
3,167	-0,2142	9,60			
3,183	-0,2140	9,49			
3,200	-0,2134	9,39			
3,217	-0,2126	9,29			
3,233	-0,2121	9,19			
3,250	-0,2118	9,07			
3,267	-0,2113	8,97			
3,283	-0,2108	8,85			
3,300	-0,2104	8,75			
3,317	-0,2101	8,65			
3,333	-0,2096	8,55			
3,350	-0,2092	8,45			
3,367	-0,2090	8,35			
3,383	-0,2087	8,24			
3,400	-0,2084	8,16			
3,417	-0,2082	8,09			
3,433	-0,2081	8,01			
3,450	-0,2081	7,92			
