Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3,267	-0,2195	11,30			
3,283	-0,2184	11,23			
3,300	-0,2171	11,18			
3,317	-0,2159	11,13			
3,333	-0,2153	11,07			
3,350	-0,2154	10,98			
3,367	-0,2159	10,92			
3,383	-0,2165	10,87			
3,400	-0,2171	10,82			
3,417	-0,2174	10,75			
3,433	-0,2171	10,70			
3,450	-0,2162	10,65			
3,467	-0,2152	10,59			
3,483	-0,2145	10,47			
3,500	-0,2142	10,39			
3,517	-0,2142	10,29			
3,533	-0,2144	10,20			
3,550	-0,2144	10,17			
3,567	-0,2139	10,12			
3,583	-0,2131	10,02			
3,600	-0,2126	9,91			
3,617	-0,2124	9,81			
3,633	-0,2122	9,74			
3,650	-0,2118	9,64			
3,667	-0,2113	9,54			
3,683	-0,2108	9,46			
3,700	-0,2106	9,38			
3,717	-0,2103	9,28			
3,733	-0,2098	9,18			
3,750	-0,2093	9,10			
3,767	-0,2091	8,98			
3,783	-0,2089	8,87			
3,800	-0,2085	8,77			
3,817	-0,2081	8,68			
3,833	-0,2080	8,57			
3,850	-0,2078	8,48			
3,867	-0,2077	8,40			
3,883	-0,2076	8,30			
3,900	-0,2076	8,22			
3,917	-0,2076	8,14			
3,933	-0,2078	8,07			
3,950	-0,2080	8,01			
3,967	-0,2082	7,94			
3,983	-0,2086	7,87			
4,000	-0,2090	7,81			
4,017	-0,2094	7,76			
4,033	-0,2099	7,69			
4,050	-0,2104	7,62			
4,067	-0,2110	7,56			
4,083	-0,2115	7,51			
4,100	-0,2123	7,44			
4,117	-0,2132	7,39			
4,133	-0,2142	7,34			
4,150	-0,2150	7,31			
4,167	-0,2158	7,26			
4,183	-0,2163	7,24			
4,200	-0,2167	7,21			
4,217	-0,2170	7,16			
4,233	-0,2172	7,15			
4,250	-0,2174	7,13			
4,267	-0,2175	7,10			
4,283	-0,2176	7,08			
4,300	-0,2178	7,05			
4,317	-0,2179	7,05			
4,333	-0,2180	7,03			
4,350	-0,2181	7,03			
4,367	-0,2181	7,01			
4,383	-0,2182	7,01			
4,400	-0,2183	6,98			
4,417	-0,2184	6,99			
4,433	-0,2184	7,01			
4,450	-0,2185	7,01			
4,467	-0,2185	7,01			
4,483	-0,2186	6,99			
4,500	-0,2187	6,96			
4,517	-0,2187	6,93			
