Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	-0,2246	0,70			
0,017	-0,2213	0,72			
0,033	-0,2330	0,72			
0,050	-0,2298	0,70			
0,067	-0,2214	0,70			
0,083	-0,2214	0,72			
0,100	-0,2251	0,72			
0,117	-0,2261	0,70			
0,133	-0,2266	0,70			
0,150	-0,2271	0,70			
0,167	-0,2276	0,70			
0,183	-0,2280	0,70			
0,200	-0,1557	0,70			
0,217	0,1314	0,70			
0,233	0,4122	0,70			
0,250	0,4503	0,70			
0,267	0,4379	0,68			
0,283	0,4263	0,70			
0,300	0,4189	0,70			
0,317	0,4151	0,72			
0,333	0,4132	9,08			
0,350	0,4092	17,58			
0,367	0,3977	19,97			
0,383	0,3760	20,60			
0,400	0,3446	20,82			
0,417	0,3061	20,93			
0,433	0,2550	21,00			
0,450	0,2007	21,07			
0,467	0,1468	21,17			
0,483	0,0987	21,28			
0,500	0,0516	21,38			
0,517	0,0150	21,43			
0,533	-0,0152	21,51			
0,550	-0,0477	21,58			
0,567	-0,0783	21,61			
0,583	-0,1034	21,63			
0,600	-0,1239	21,61			
0,617	-0,1420	21,58			
0,633	-0,1575	21,48			
0,650	-0,1723	21,43			
0,667	-0,1858	21,34			
0,683	-0,1954	21,26			
0,700	-0,2015	21,16			
0,717	-0,2068	21,08			
0,733	-0,2115	20,98			
0,750	-0,2144	20,88			
0,767	-0,2166	20,78			
0,783	-0,2189	20,66			
0,800	-0,2211	20,54			
0,817	-0,2228	20,46			
0,833	-0,2242	20,31			
0,850	-0,2252	20,18			
0,867	-0,2261	20,05			
0,883	-0,2269	19,96			
0,900	-0,2276	19,88			
0,917	-0,2281	19,80			
0,933	-0,2284	19,72			
0,950	-0,2285	19,63			
0,967	-0,2283	19,57			
0,983	-0,2271	19,50			
1,000	-0,2247	19,42			
1,017	-0,2210	19,37			
1,033	-0,2166	19,30			
1,050	-0,2122	19,24			
1,067	-0,2086	19,15			
1,083	-0,2064	19,10			
1,100	-0,2056	19,04			
1,117	-0,2063	18,94			
1,133	-0,2081	18,84			
1,150	-0,2109	18,76			
1,167	-0,2147	18,72			
1,183	-0,2187	18,67			
1,200	-0,2224	18,61			
1,217	-0,2253	18,54			
1,233	-0,2275	18,44			
1,250	-0,2291	18,38			
1,267	-0,2302	18,34			
1,283	-0,2311	18,26			
1,300	-0,2318	18,19			
1,317	-0,2323	18,13			
1,333	-0,2325	18,08			
1,350	-0,2324	18,01			
1,367	-0,2319	17,96			
1,383	-0,2306	17,93			
1,400	-0,2287	17,91			
1,417	-0,2261	17,83			
1,433	-0,2229	17,76			
1,450	-0,2188	17,71			
1,467	-0,2139	17,63			
1,483	-0,2088	17,55			
1,500	-0,2043	17,52			
1,517	-0,2011	17,48			
1,533	-0,1998	17,40			
1,550	-0,2005	17,33			
1,567	-0,2030	17,28			
1,583	-0,2067	17,23			
1,600	-0,2110	17,18			
1,617	-0,2152	17,12			
1,633	-0,2190	17,05			
1,650	-0,2221	16,99			
1,667	-0,2243	16,95			
1,683	-0,2258	16,92			
1,700	-0,2268	16,84			
1,717	-0,2273	16,75			
1,733	-0,2274	16,69			
1,750	-0,2265	16,62			
1,767	-0,2228	16,57			
1,783	-0,2139	16,54			
1,800	-0,1995	16,51			
1,817	-0,1833	16,44			
1,833	-0,1700	16,37			
1,850	-0,1624	16,32			
1,867	-0,1608	16,28			
1,883	-0,1646	16,24			
1,900	-0,1724	16,18			
1,917	-0,1822	16,11			
1,933	-0,1918	15,99			
1,950	-0,1999	15,91			
1,967	-0,2060	15,85			
1,983	-0,2103	15,80			
2,000	-0,2135	15,71			
2,017	-0,2161	15,66			
2,033	-0,2182	15,60			
2,050	-0,2200	15,55			
2,067	-0,2216	15,51			
2,083	-0,2229	15,46			
2,100	-0,2240	15,38			
2,117	-0,2248	15,32			
2,133	-0,2255	15,27			
2,150	-0,2260	15,23			
2,167	-0,2264	15,18			
2,183	-0,2267	15,13			
2,200	-0,2268	15,08			
2,217	-0,2267	15,02			
2,233	-0,2266	14,98			
2,250	-0,2265	14,92			
2,267	-0,2266	14,85			
2,283	-0,2267	14,80			
2,300	-0,2268	14,75			
2,317	-0,2268	14,69			
2,333	-0,2267	14,64			
2,350	-0,2263	14,59			
2,367	-0,2254	14,55			
2,383	-0,2238	14,51			
2,400	-0,2217	14,41			
2,417	-0,2195	14,34			
2,433	-0,2179	14,27			
2,450	-0,2172	14,22			
2,467	-0,2176	14,17			
2,483	-0,2187	14,09			
2,500	-0,2201	14,04			
2,517	-0,2213	13,99			
2,533	-0,2222	13,96			
2,550	-0,2228	13,91			
2,567	-0,2232	13,83			
2,583	-0,2235	13,76			
2,600	-0,2238	13,69			
2,617	-0,2241	13,63			
2,633	-0,2244	13,60			
2,650	-0,2246	13,55			
2,667	-0,2249	13,48			
2,683	-0,2251	13,41			
2,700	-0,2253	13,36			
2,717	-0,2254	13,30			
2,733	-0,2254	13,25			
2,750	-0,2249	13,17			
2,767	-0,2234	13,08			
2,783	-0,2211	13,02			
2,800	-0,2186	12,95			
2,817	-0,2168	12,95			
2,833	-0,2164	12,87			
2,850	-0,2170	12,79			
2,867	-0,2180	12,72			
2,883	-0,2190	12,67			
2,900	-0,2197	12,64			
2,917	-0,2203	12,59			
2,933	-0,2208	12,54			
2,950	-0,2214	12,47			
2,967	-0,2218	12,40			
2,983	-0,2222	12,36			
3,000	-0,2225	12,31			
3,017	-0,2225	12,26			
3,033	-0,2222	12,21			
3,050	-0,2210	12,16			
3,067	-0,2191	12,07			
3,083	-0,2171	12,02			
3,100	-0,2157	11,99			
3,117	-0,2154	11,89			
3,133	-0,2160	11,81			
3,150	-0,2169	11,71			
3,167	-0,2177	11,63			
3,183	-0,2184	11,56			
3,200	-0,2190	11,53			
3,217	-0,2195	11,48			
3,233	-0,2199	11,43			
3,250	-0,2200	11,38			
