Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	-0,1851	0,77			
0,017	-0,1794	0,76			
0,033	-0,1961	0,74			
0,050	-0,2278	0,76			
0,067	-0,2353	0,72			
0,083	-0,2381	0,72			
0,100	-0,2353	0,72			
0,117	-0,2295	0,72			
0,133	-0,2263	0,71			
0,150	-0,2226	0,71			
0,167	-0,2233	0,71			
0,183	-0,2215	0,71			
0,200	0,0553	0,69			
0,217	0,3316	0,69			
0,233	0,4296	0,67			
0,250	0,4162	0,69			
0,267	0,4004	0,69			
0,283	0,3855	0,67			
0,300	0,3720	1,24			
0,317	0,3612	9,24			
0,333	0,3550	16,71			
0,350	0,3530	18,74			
0,367	0,3533	19,43			
0,383	0,3512	19,83			
0,400	0,3482	20,15			
0,417	0,3397	20,39			
0,433	0,3149	20,59			
0,450	0,2809	20,81			
0,467	0,2459	20,98			
0,483	0,2128	21,13			
0,500	0,1705	21,23			
0,517	0,1285	21,31			
0,533	0,0850	21,33			
0,550	0,0384	21,36			
0,567	-0,0061	21,36			
0,583	-0,0465	21,36			
0,600	-0,0841	21,34			
0,617	-0,1130	21,29			
0,633	-0,1321	21,26			
0,650	-0,1509	21,19			
0,667	-0,1682	21,14			
0,683	-0,1815	21,06			
0,700	-0,1930	20,99			
0,717	-0,2017	20,93			
0,733	-0,2080	20,84			
0,750	-0,2124	20,74			
0,767	-0,2157	20,64			
0,783	-0,2181	20,52			
0,800	-0,2203	20,42			
0,817	-0,2222	20,29			
0,833	-0,2235	20,19			
0,850	-0,2248	20,09			
0,867	-0,2259	19,99			
0,883	-0,2268	19,89			
0,900	-0,2275	19,79			
0,917	-0,2281	19,72			
0,933	-0,2286	19,63			
0,950	-0,2289	19,53			
0,967	-0,2292	19,43			
0,983	-0,2293	19,35			
1,000	-0,2288	19,27			
1,017	-0,2274	19,18			
1,033	-0,2250	19,10			
1,050	-0,2218	19,08			
1,067	-0,2183	19,03			
1,083	-0,2148	18,96			
1,100	-0,2119	18,84			
1,117	-0,2098	18,78			
1,133	-0,2090	18,69			
1,150	-0,2095	18,61			
1,167	-0,2111	18,54			
1,183	-0,2139	18,42			
1,200	-0,2176	18,35			
1,217	-0,2215	18,27			
1,233	-0,2249	18,22			
1,250	-0,2276	18,17			
1,267	-0,2295	18,12			
1,283	-0,2309	18,03			
1,300	-0,2319	17,92			
1,317	-0,2325	17,85			
1,333	-0,2330	17,78			
1,350	-0,2332	17,73			
1,367	-0,2332	17,69			
1,383	-0,2329	17,64			
1,400	-0,2320	17,54			
1,417	-0,2304	17,44			
1,433	-0,2282	17,36			
1,450	-0,2252	17,27			
1,467	-0,2214	17,21			
1,483	-0,2167	17,10			
1,500	-0,2114	17,05			
1,517	-0,2062	17,05			
1,533	-0,2019	17,02			
1,550	-0,1991	16,95			
1,567	-0,1981	16,86			
1,583	-0,1990	16,78			
1,600	-0,2015	16,74			
1,617	-0,2053	16,69			
1,633	-0,2099	16,66			
1,650	-0,2144	16,59			
1,667	-0,2184	16,52			
