Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
1,683	-0,2216	16,47			
1,700	-0,2239	16,42			
1,717	-0,2254	16,35			
1,733	-0,2264	16,26			
1,750	-0,2269	16,20			
1,767	-0,2263	16,11			
1,783	-0,2236	16,04			
1,800	-0,2171	15,98			
1,817	-0,2064	15,91			
1,833	-0,1924	15,86			
1,850	-0,1779	15,81			
1,867	-0,1659	15,74			
1,883	-0,1584	15,69			
1,900	-0,1565	15,64			
1,917	-0,1602	15,57			
1,933	-0,1683	15,50			
1,950	-0,1789	15,45			
1,967	-0,1891	15,40			
1,983	-0,1975	15,35			
2,000	-0,2039	15,30			
2,017	-0,2088	15,23			
2,033	-0,2124	15,18			
2,050	-0,2152	15,13			
2,067	-0,2175	15,10			
2,083	-0,2195	15,05			
2,100	-0,2211	15,00			
2,117	-0,2224	14,95			
2,133	-0,2235	14,92			
2,150	-0,2244	14,87			
2,167	-0,2252	14,78			
2,183	-0,2258	14,70			
2,200	-0,2264	14,65			
2,217	-0,2268	14,59			
2,233	-0,2270	14,54			
2,250	-0,2272	14,48			
2,267	-0,2271	14,44			
2,283	-0,2252	14,36			
2,300	-0,2215	14,31			
2,317	-0,2216	14,26			
2,333	-0,2245	14,19			
2,350	-0,2267	14,18			
2,367	-0,2267	14,16			
2,383	-0,2262	14,11			
2,400	-0,2250	14,01			
2,417	-0,2233	13,89			
2,433	-0,2214	13,80			
2,450	-0,2196	13,72			
2,467	-0,2184	13,67			
2,483	-0,2180	13,63			
2,500	-0,2186	13,57			
2,517	-0,2197	13,46			
2,533	-0,2210	13,41			
2,550	-0,2221	13,35			
2,567	-0,2228	13,33			
2,583	-0,2232	13,26			
2,600	-0,2235	13,19			
2,617	-0,2238	13,13			
2,633	-0,2242	13,09			
2,650	-0,2246	13,06			
2,667	-0,2249	12,99			
2,683	-0,2253	12,90			
2,700	-0,2256	12,84			
2,717	-0,2258	12,82			
2,733	-0,2260	12,73			
2,750	-0,2260	12,68			
2,767	-0,2256	12,65			
2,783	-0,2246	12,58			
2,800	-0,2229	12,51			
2,817	-0,2207	12,45			
2,833	-0,2186	12,38			
2,850	-0,2173	12,31			
2,867	-0,2170	12,26			
2,883	-0,2176	12,23			
2,900	-0,2184	12,14			
2,917	-0,2193	12,04			
2,933	-0,2200	11,99			
2,950	-0,2206	11,94			
2,967	-0,2212	11,85			
2,983	-0,2217	11,77			
3,000	-0,2223	11,74			
3,017	-0,2227	11,65			
3,033	-0,2230	11,66			
3,050	-0,2231	11,59			
3,067	-0,2228	11,52			
3,083	-0,2219	11,47			
3,100	-0,2203	11,46			
3,117	-0,2183	11,37			
3,133	-0,2167	11,30			
3,150	-0,2159	11,23			
3,167	-0,2160	11,18			
3,183	-0,2167	11,15			
3,200	-0,2175	11,08			
3,217	-0,2182	11,03			
3,233	-0,2189	10,98			
3,250	-0,2194	10,93			
3,267	-0,2198	10,86			
3,283	-0,2197	10,79			
3,300	-0,2190	10,71			
3,317	-0,2176	10,66			
3,333	-0,2160	10,62			
3,350	-0,2148	10,54			
3,367	-0,2144	10,42			
3,383	-0,2147	10,33			
3,400	-0,2153	10,25			
3,417	-0,2159	10,18			
3,433	-0,2161	10,09			
3,450	-0,2156	10,01			
3,467	-0,2144	9,92			
3,483	-0,2130	9,82			
3,500	-0,2121	9,74			
3,517	-0,2117	9,63			
3,533	-0,2118	9,53			
3,550	-0,2119	9,43			
3,567	-0,2113	9,34			
3,583	-0,2103	9,24			
3,600	-0,2097	9,14			
3,617	-0,2095	9,04			
3,633	-0,2091	8,92			
3,650	-0,2085	8,82			
3,667	-0,2080	8,69			
3,683	-0,2078	8,60			
3,700	-0,2074	8,49			
3,717	-0,2069	8,39			
3,733	-0,2066	8,29			
3,750	-0,2065	8,22			
3,767	-0,2062	8,13			
3,783	-0,2060	8,05			
3,800	-0,2059	7,96			
3,817	-0,2059	7,90			
3,833	-0,2060	7,81			
3,850	-0,2061	7,73			
3,867	-0,2063	7,64			
3,883	-0,2069	7,57			
3,900	-0,2082	7,50			
3,917	-0,2098	7,44			
3,933	-0,2110	7,39			
3,950	-0,2119	7,34			
3,967	-0,2127	7,28			
3,983	-0,2132	7,23			
4,000	-0,2137	7,20			
4,017	-0,2141	7,18			
4,033	-0,2144	7,13			
4,050	-0,2147	7,10			
4,067	-0,2149	7,08			
4,083	-0,2152	7,06			
4,100	-0,2154	7,03			
4,117	-0,2156	7,00			
4,133	-0,2157	6,98			
4,150	-0,2159	6,94			
4,167	-0,2160	6,94			
4,183	-0,2161	6,94			
4,200	-0,2162	6,91			
4,217	-0,2163	6,89			
4,233	-0,2164	6,89			
4,250	-0,2165	6,91			
4,267	-0,2166	6,88			
4,283	-0,2167	6,86			
4,300	-0,2168	6,84			
4,317	-0,2169	6,83			
4,333	-0,2169	6,84			
4,350	-0,2170	6,83			
4,367	-0,2170	6,81			
4,383	-0,2171	6,83			
4,400	-0,2172	6,86			
4,417	-0,2172	6,86			
4,433	-0,2172	6,81			
4,450	-0,2172	6,72			
4,467	-0,2172	6,67			
4,483	-0,2172	6,72			
4,500	-0,2172	6,76			
4,517	-0,2172	6,76			
4,533	-0,2173	6,76			
4,550	-0,2173	6,74			
