Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	0,2090	0,87			
0,017	0,2071	1,17			
0,033	0,1796	3,07			
0,050	0,1227	5,01			
0,067	0,0899	14,51			
0,083	0,0647	19,07			
0,100	0,0654	20,14			
0,117	0,0743	20,55			
0,133	0,0909	20,84			
0,150	0,0831	21,00			
0,167	0,0377	21,10			
0,183	-0,0313	21,13			
0,200	-0,0803	21,25			
0,217	-0,1112	21,38			
0,233	-0,1366	21,48			
0,250	-0,1555	21,48			
0,267	-0,1694	21,38			
0,283	-0,1835	21,31			
0,300	-0,1948	21,23			
0,317	-0,2016	21,15			
0,333	-0,2066	21,05			
0,350	-0,2106	20,90			
0,367	-0,2141	20,76			
0,383	-0,2167	20,66			
0,400	-0,2189	20,55			
0,417	-0,2207	20,40			
0,433	-0,2224	20,23			
0,450	-0,2236	20,10			
0,467	-0,2247	19,93			
0,483	-0,2255	19,82			
0,500	-0,2261	19,70			
0,517	-0,2264	19,58			
0,533	-0,2259	19,48			
0,550	-0,2254	19,40			
0,567	-0,2247	19,32			
0,583	-0,2231	19,20			
0,600	-0,2199	19,10			
0,617	-0,2159	19,02			
0,633	-0,2118	18,92			
0,650	-0,2082	18,85			
0,667	-0,2055	18,74			
0,683	-0,2041	18,61			
0,700	-0,2041	18,51			
0,717	-0,2053	18,44			
0,733	-0,2077	18,36			
0,750	-0,2110	18,27			
0,767	-0,2146	18,23			
0,783	-0,2182	18,19			
0,800	-0,2214	18,08			
0,817	-0,2239	17,98			
0,833	-0,2258	17,88			
0,850	-0,2274	17,81			
0,867	-0,2286	17,77			
0,883	-0,2297	17,71			
0,900	-0,2305	17,66			
0,917	-0,2310	17,63			
0,933	-0,2311	17,59			
0,950	-0,2304	17,56			
0,967	-0,2289	17,44			
0,983	-0,2263	17,34			
1,000	-0,2227	17,29			
1,017	-0,2183	17,21			
1,033	-0,2130	17,16			
1,050	-0,2073	17,14			
1,067	-0,2018	17,07			
1,083	-0,1975	17,01			
1,100	-0,1951	16,92			
1,117	-0,1947	16,89			
1,133	-0,1962	16,84			
1,150	-0,1993	16,76			
1,167	-0,2034	16,68			
1,183	-0,2077	16,61			
1,200	-0,2119	16,56			
1,217	-0,2155	16,49			
1,233	-0,2184	16,46			
1,250	-0,2206	16,41			
1,267	-0,2222	16,40			
1,283	-0,2234	16,35			
1,300	-0,2240	16,27			
1,317	-0,2234	16,18			
1,333	-0,2204	16,10			
1,350	-0,2135	16,05			
1,367	-0,2026	15,97			
1,383	-0,1904	15,87			
1,400	-0,1798	15,82			
1,417	-0,1728	15,78			
1,433	-0,1700	15,72			
1,450	-0,1714	15,69			
1,467	-0,1762	15,66			
1,483	-0,1829	15,58			
1,500	-0,1899	15,51			
1,517	-0,1962	15,48			
1,533	-0,2012	15,46			
1,550	-0,2049	15,39			
1,567	-0,2079	15,34			
1,583	-0,2106	15,31			
1,600	-0,2131	15,23			
1,617	-0,2154	15,16			
1,633	-0,2175	15,13			
1,650	-0,2191	15,06			
1,667	-0,2204	15,03			
1,683	-0,2217	15,02			
1,700	-0,2228	14,99			
1,717	-0,2238	14,94			
1,733	-0,2245	14,90			
1,750	-0,2251	14,83			
1,767	-0,2255	14,80			
1,783	-0,2258	14,75			
1,800	-0,2260	14,68			
1,817	-0,2262	14,63			
1,833	-0,2263	14,60			
1,850	-0,2265	14,57			
1,867	-0,2266	14,53			
1,883	-0,2267	14,47			
1,900	-0,2267	14,42			
1,917	-0,2265	14,37			
1,933	-0,2261	14,32			
1,950	-0,2254	14,25			
1,967	-0,2244	14,22			
1,983	-0,2231	14,17			
2,000	-0,2217	14,13			
2,017	-0,2206	14,08			
2,033	-0,2199	14,02			
2,050	-0,2197	13,97			
2,067	-0,2200	13,92			
2,083	-0,2207	13,85			
2,100	-0,2216	13,78			
2,117	-0,2223	13,75			
2,133	-0,2228	13,68			
2,150	-0,2232	13,61			
2,167	-0,2236	13,55			
2,183	-0,2239	13,51			
2,200	-0,2242	13,46			
2,217	-0,2244	13,40			
2,233	-0,2247	13,36			
2,250	-0,2249	13,30			
2,267	-0,2251	13,25			
2,283	-0,2253	13,18			
2,300	-0,2255	13,09			
2,317	-0,2257	13,04			
2,333	-0,2258	12,96			
2,350	-0,2255	12,93			
2,367	-0,2245	12,88			
2,383	-0,2230	12,81			
2,400	-0,2213	12,76			
2,417	-0,2200	12,69			
2,433	-0,2192	12,63			
2,450	-0,2191	12,58			
2,467	-0,2194	12,51			
2,483	-0,2199	12,44			
2,500	-0,2203	12,37			
2,517	-0,2208	12,32			
2,533	-0,2213	12,27			
2,550	-0,2218	12,22			
2,567	-0,2223	12,21			
2,583	-0,2228	12,14			
2,600	-0,2232	12,06			
2,617	-0,2235	12,03			
2,633	-0,2236	11,96			
2,650	-0,2235	11,87			
2,667	-0,2229	11,81			
2,683	-0,2218	11,72			
2,700	-0,2203	11,67			
2,717	-0,2191	11,62			
2,733	-0,2183	11,61			
2,750	-0,2181	11,57			
2,767	-0,2183	11,50			
2,783	-0,2187	11,47			
2,800	-0,2192	11,42			
2,817	-0,2197	11,35			
2,833	-0,2201	11,29			
2,850	-0,2206	11,24			
2,867	-0,2209	11,20			
2,883	-0,2211	11,15			
2,900	-0,2208	11,10			
2,917	-0,2202	11,07			
2,933	-0,2192	11,02			
2,950	-0,2182	10,95			
2,967	-0,2175	10,87			
2,983	-0,2171	10,85			
3,000	-0,2171	10,80			
3,017	-0,2174	10,70			
3,033	-0,2177	10,61			
3,050	-0,2180	10,53			
3,067	-0,2180	10,46			
3,083	-0,2175	10,43			
3,100	-0,2167	10,35			
3,117	-0,2157	10,26			
3,133	-0,2150	10,18			
3,150	-0,2146	10,09			
3,167	-0,2146	10,01			
3,183	-0,2146	9,93			
3,200	-0,2145	9,84			
3,217	-0,2139	9,76			
3,233	-0,2131	9,67			
3,250	-0,2125	9,57			
3,267	-0,2122	9,47			
3,283	-0,2119	9,35			
3,300	-0,2113	9,27			
3,317	-0,2107	9,15			
3,333	-0,2103	9,05			
3,350	-0,2100	8,93			
3,367	-0,2095	8,83			
3,383	-0,2090	8,71			
3,400	-0,2086	8,63			
3,417	-0,2083	8,53			
3,433	-0,2079	8,41			
3,450	-0,2077	8,33			
3,467	-0,2075	8,24			
3,483	-0,2073	8,16			
3,500	-0,2072	8,08			
3,517	-0,2071	8,02			
3,533	-0,2071	7,96			
3,550	-0,2072	7,87			
3,567	-0,2073	7,81			
3,583	-0,2075	7,72			
3,600	-0,2081	7,62			
3,617	-0,2093	7,55			
3,633	-0,2107	7,49			
3,650	-0,2118	7,44			
3,667	-0,2126	7,37			
3,683	-0,2133	7,32			
3,700	-0,2138	7,27			
3,717	-0,2143	7,23			
3,733	-0,2147	7,18			
3,750	-0,2150	7,15			
3,767	-0,2153	7,12			
3,783	-0,2155	7,08			
3,800	-0,2157	7,08			
3,817	-0,2159	7,03			
3,833	-0,2160	7,00			
3,850	-0,2161	6,98			
3,867	-0,2162	6,96			
3,883	-0,2163	6,95			
3,900	-0,2163	6,93			
3,917	-0,2164	6,91			
3,933	-0,2164	6,90			
3,950	-0,2165	6,88			
3,967	-0,2165	6,86			
3,983	-0,2166	6,85			
4,000	-0,2167	6,85			
4,017	-0,2168	6,85			
4,033	-0,2168	6,85			
4,050	-0,2169	6,85			
4,067	-0,2170	6,83			
4,083	-0,2171	6,81			
4,100	-0,2172	6,83			
4,117	-0,2173	6,83			
4,133	-0,2174	6,81			
4,150	-0,2175	6,77			
4,167	-0,2175	6,73			
4,183	-0,2176	6,73			
4,200	-0,2176	6,71			
4,217	-0,2177	6,73			
4,233	-0,2177	6,75			
4,250	-0,2177	6,72			
4,267	-0,2178	6,67			
4,283	-0,2178	6,70			
4,300	-0,2178	6,68			
4,317	-0,2178	6,68			
4,333	-0,2178	6,67			
4,350	-0,2179	6,70			
4,367	-0,2179	6,68			
4,383	-0,2179	6,68			
4,400	-0,2180	6,65			
4,417	-0,2180	6,63			
4,433	-0,2180	6,62			
