Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
3,533	-0,2101	9,16			
3,550	-0,2096	9,04			
3,567	-0,2092	8,95			
3,583	-0,2090	8,87			
3,600	-0,2088	8,82			
3,617	-0,2084	8,77			
3,633	-0,2082	8,75			
3,650	-0,2080	8,70			
3,667	-0,2078	8,55			
3,683	-0,2077	8,39			
3,700	-0,2076	8,28			
3,717	-0,2075	8,16			
3,733	-0,2076	8,07			
3,750	-0,2077	7,97			
3,767	-0,2078	7,90			
3,783	-0,2080	7,89			
3,800	-0,2082	7,87			
3,817	-0,2087	7,80			
3,833	-0,2096	7,68			
3,850	-0,2110	7,55			
3,867	-0,2123	7,46			
3,883	-0,2133	7,38			
3,900	-0,2140	7,33			
3,917	-0,2147	7,28			
3,933	-0,2151	7,26			
3,950	-0,2153	7,24			
3,967	-0,2156	7,24			
3,983	-0,2159	7,19			
4,000	-0,2162	7,11			
4,017	-0,2164	7,07			
4,033	-0,2165	7,02			
4,050	-0,2166	7,01			
4,067	-0,2166	6,97			
4,083	-0,2167	6,94			
4,100	-0,2168	6,90			
4,117	-0,2168	6,90			
4,133	-0,2169	6,90			
4,150	-0,2169	6,90			
4,167	-0,2169	6,90			
4,183	-0,2169	6,90			
4,200	-0,2169	6,89			
4,217	-0,2169	6,87			
4,233	-0,2169	6,85			
4,250	-0,2170	6,84			
4,267	-0,2170	6,84			
4,283	-0,2170	6,82			
4,300	-0,2171	6,82			
4,317	-0,2171	6,84			
4,333	-0,2171	6,85			
4,350	-0,2171	6,87			
4,367	-0,2171	6,83			
4,383	-0,2171	6,79			
4,400	-0,2172	6,77			
4,417	-0,2172	6,77			
4,433	-0,2173	6,79			
4,450	-0,2174	6,79			
4,467	-0,2174	6,79			
4,483	-0,2174	6,76			
