Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	2b185cda-bd25-4ec7-abb1-d37a8cb17dad
Plate Name	19.06.24 OPP ISRIB
Measurement	Measurement 1
Evaluation	Evaluation8
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	7	3	2133	1539	[2104,1492,2159,1640]	1607,26	501,93					458,607	355	
2	2	1	0	7	4	1261	1683	[1182,1662,1311,1731]	1343,9	464,73					662,135	540	
2	2	1	0	7	5	1107	1911	[1038,1874,1144,1952]	1299,37	397,7					663,875	530	
2	2	1	0	7	6	877	1906	[815,1882,938,1930]	1232,93	399,14					637,233	503	
2	2	1	0	7	7	575	2115	[482,2074,659,2159]	1140,91	332,86					548,449	418	
2	2	1	0	4	1	1343	430	[1313,407,1395,507]	77,49	1482,87					548,44	429	
2	2	1	0	4	2	24	489	[0,456,123,539]	-305,7	1462,53					447,924	335	
2	2	1	0	4	3	284	878	[253,772,332,1011]	-235,27	1345					571,853	432	
2	2	1	0	4	4	1791	997	[1603,836,1959,1073]	207,33	1319,82					763,265	434	
2	2	1	0	4	5	955	1465	[868,1387,1036,1525]	-36,22	1177,02					682,449	511	
2	2	1	0	4	6	1383	2140	[1320,2121,1420,2159]	88,78	974,31					559,676	455	
2	2	1	0	26	1	336	26	[290,0,401,77]	1070,14	-1624,84					369,128	262	
2	2	1	0	26	2	23	119	[0,67,52,150]	974,16	-1650,08					341,435	260	
2	2	1	0	26	3	1035	291	[1002,256,1068,325]	1276,95	-1701,8					549,574	443	
2	2	1	0	26	4	1290	569	[1236,528,1409,635]	1361,67	-1785,4					614,855	474	
2	2	1	0	26	5	1763	697	[1686,672,1830,751]	1491,88	-1825,45					574,305	436	
2	2	1	0	26	6	277	862	[204,755,341,922]	1053,71	-1872,74					593,184	473	
2	2	1	0	26	7	723	1767	[649,1741,764,1801]	1183,06	-2143,2					661,525	537	
2	2	1	0	22	1	2118	94	[1969,12,2159,313]	-357,57	-1012,67					353,009	198	
2	2	1	0	22	2	1516	54	[1469,17,1604,81]	-509,7	-983,76					601,902	283	
2	2	1	0	22	3	1805	194	[1751,143,1862,244]	-430,11	-1026,31					500,867	287	
2	2	1	0	22	4	2104	296	[2059,170,2150,378]	-341,03	-1052,92					561,482	235	
2	2	1	0	22	5	695	257	[645,209,731,294]	-762,97	-1046,89					623,922	388	
2	2	1	0	22	6	1627	428	[1568,375,1723,504]	-479,48	-1099,46					653,182	422	
2	2	1	0	22	7	1266	718	[1218,683,1309,774]	-591,12	-1184,36					631,447	504	
2	2	1	0	22	8	1580	928	[1472,761,1622,1034]	-500,25	-1241,87					823,289	504	
2	2	1	0	30	1	861	314	[797,252,920,405]	-1357,25	-1710,69					557,718	435	
2	2	1	0	30	2	108	827	[48,741,146,999]	-1585,2	-1873,12					595,349	453	
2	2	1	0	30	3	1883	1206	[1845,1171,1926,1253]	-1051,01	-1974,61					662,703	498	
2	2	1	0	13	1	798	28	[730,0,858,68]	-732,53	314,79					359,439	271	
2	2	1	0	13	2	1241	27	[1186,0,1333,78]	-598,13	315,28					408,561	256	
2	2	1	0	13	3	2127	79	[2093,30,2159,155]	-332,98	296,26					246,575	172	
2	2	1	0	13	4	1933	395	[1903,306,1950,488]	-392,94	203,4					403,708	301	
2	2	1	0	13	5	544	389	[474,356,645,447]	-801,12	203,42					492,284	390	
2	2	1	0	13	6	1161	713	[1114,628,1215,762]	-620,7	112,78					992,132	567	
2	2	1	0	13	7	1489	864	[1420,722,1648,973]	-525,16	65,99					1072,27	511	
2	2	1	0	13	8	1787	1184	[1746,984,1853,1454]	-432,77	-37,45					732,684	464	
2	2	1	0	13	9	2133	1145	[2109,1095,2157,1199]	-329,59	-18,76					424,105	329	
2	2	1	0	13	10	1145	1418	[1024,1366,1186,1449]	-634,48	-97,97					659,534	520	
2	2	1	0	13	11	622	1591	[558,1553,676,1666]	-785,05	-158,39					636,203	501	
2	2	1	0	13	12	241	1689	[188,1640,313,1736]	-893,14	-186,32					586,978	457	
2	2	1	0	13	13	957	2040	[862,1954,1058,2159]	-676,31	-294,63					740,219	464	
2	2	1	0	13	14	1172	2131	[1092,2104,1238,2159]	-620,44	-315,35					557,051	446	
2	2	1	0	2	1	1525	32	[1458,0,1636,63]	-1156,44	1607,15					367,658	263	
2	2	1	0	2	2	750	383	[563,176,855,463]	-1401,26	1506,49					665,385	418	
2	2	1	0	2	3	241	294	[188,246,312,394]	-1542,58	1525,01					559,11	356	
2	2	1	0	2	4	717	781	[650,633,802,864]	-1398,74	1379,88					843,479	526	
2	2	1	0	2	5	1746	689	[1695,641,1813,741]	-1092,91	1408,96					577,363	441	
2	2	1	0	2	6	946	776	[921,742,970,861]	-1332,95	1375,49					712,46	540	
2	2	1	0	2	7	1627	1352	[1538,1321,1667,1382]	-1130,88	1211,92					650,149	511	
2	2	1	0	2	8	1311	1775	[1011,1634,1457,1832]	-1240,55	1091,95					821,209	552	
2	2	1	0	2	9	1279	1870	[1089,1783,1368,1983]	-1237,02	1057,83					844,764	539	
2	2	1	0	2	10	445	2125	[395,2091,614,2159]	-1464,12	976,9					828,209	438	
2	2	1	0	19	1	1398	29	[1342,2,1457,56]	-551,57	-329,85					346,864	263	
2	2	1	0	19	2	2108	484	[2082,421,2159,556]	-332,93	-467,99					356,415	235	
2	2	1	0	19	3	1630	638	[1462,546,1721,725]	-487,3	-515,81					783,435	480	
2	2	1	0	19	4	2126	642	[2091,593,2159,717]	-332,78	-517,47					402,096	279	
2	2	1	0	19	5	1161	1247	[1028,1133,1198,1327]	-631,43	-696,21					666,17	529	
2	2	1	0	19	6	319	1490	[250,1427,378,1993]	-872,75	-825,97					898,915	596	
2	2	1	0	19	7	2144	1490	[2123,1436,2159,1580]	-327,27	-774,67					645,872	359	
2	2	1	0	19	8	551	1583	[508,1540,612,1649]	-800,41	-798,98					658,811	546	
2	2	1	0	19	9	54	1641	[0,1555,91,1882]	-955,29	-835,9					895,1	650	
2	2	1	0	19	10	1192	1660	[1130,1589,1251,1752]	-610,67	-820,39					1282,98	611	
2	2	1	0	19	11	1310	1638	[1273,1605,1344,1681]	-575,06	-813,53					639,798	483	
2	2	1	0	19	12	1987	1812	[1887,1712,2087,2088]	-374,36	-883,67					759,224	376	
2	2	1	0	19	13	403	1812	[354,1726,446,1876]	-846,71	-864,32					974,183	775	
2	2	1	0	19	14	375	1949	[320,1872,425,2144]	-856,41	-921,67					996,254	766	
2	2	1	0	19	15	56	1966	[17,1918,97,2067]	-949,11	-919,59					902,684	725	
2	2	1	0	14	1	1035	33	[952,0,1087,75]	627,55	313,42					388,583	262	
2	2	1	0	14	2	797	181	[695,62,860,261]	557,62	274,62					614,714	338	
2	2	1	0	14	3	802	322	[722,237,869,386]	561,55	226,51					646,789	370	
2	2	1	0	14	4	876	712	[799,631,950,789]	581,74	111,46					654,597	495	
2	2	1	0	14	5	960	877	[860,824,1134,934]	616,16	61,67					823,16	515	
2	2	1	0	14	6	2063	978	[2015,876,2159,1049]	949,22	36,25					444,844	311	
2	2	1	0	14	7	1479	971	[1370,938,1547,1006]	759,53	32,71					1359,95	509	
2	2	1	0	14	8	1306	1026	[1225,979,1443,1086]	720,96	14,73					951,28	537	
2	2	1	0	14	9	1499	1090	[1426,1052,1546,1127]	767,95	-3,22					829,945	545	
2	2	1	0	14	10	398	1176	[351,1108,460,1275]	444,54	-32,9					791,613	539	
