Row	Column	Plane	Timepoint	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
2	2	1	0	8	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1504-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0,000645814	2023-07-11T17:09:39,360+02:00	
2	2	1	0	8	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1504-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0,000645814	2023-07-11T17:09:39,670+02:00	
2	2	1	0	8	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1504-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0,000645814	2023-07-11T17:09:39,920+02:00	
2	2	1	0	9	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1505-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,000645814	2023-07-11T17:09:40,513+02:00	
2	2	1	0	9	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1505-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,000645814	2023-07-11T17:09:40,840+02:00	
2	2	1	0	9	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1505-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,000645814	2023-07-11T17:09:41,077+02:00	
2	2	1	0	10	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1506-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,000645814	2023-07-11T17:09:41,653+02:00	
2	2	1	0	10	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1506-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,000645814	2023-07-11T17:09:42,027+02:00	
2	2	1	0	10	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1506-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,000645814	2023-07-11T17:09:42,260+02:00	
2	2	1	0	11	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1507-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,000645814	2023-07-11T17:09:42,853+02:00	
2	2	1	0	11	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1507-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,000645814	2023-07-11T17:09:43,180+02:00	
2	2	1	0	11	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1507-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,000645814	2023-07-11T17:09:43,417+02:00	
2	2	1	0	12	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1508-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0	2023-07-11T17:09:44,023+02:00	
2	2	1	0	12	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1508-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0	2023-07-11T17:09:44,320+02:00	
2	2	1	0	12	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1508-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0	2023-07-11T17:09:44,570+02:00	
2	2	1	0	13	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1509-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0	2023-07-11T17:09:45,163+02:00	
2	2	1	0	13	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1509-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0	2023-07-11T17:09:45,473+02:00	
2	2	1	0	13	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1509-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0	2023-07-11T17:09:45,707+02:00	
2	2	1	0	14	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1510-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0	2023-07-11T17:09:46,300+02:00	
2	2	1	0	14	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1510-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0	2023-07-11T17:09:46,613+02:00	
2	2	1	0	14	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1510-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0	2023-07-11T17:09:46,847+02:00	
2	2	1	0	15	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1511-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	0	2023-07-11T17:09:47,457+02:00	
2	2	1	0	15	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1511-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	0	2023-07-11T17:09:47,767+02:00	
2	2	1	0	15	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1511-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	0	2023-07-11T17:09:48,017+02:00	
2	2	1	0	16	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1528-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	-0,000645814	2023-07-11T17:09:48,610+02:00	
2	2	1	0	16	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1528-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	-0,000645814	2023-07-11T17:09:48,920+02:00	
2	2	1	0	16	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1528-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,001291628	-0,000645814	2023-07-11T17:09:49,170+02:00	
2	2	1	0	17	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1529-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	-0,000645814	2023-07-11T17:09:49,763+02:00	
2	2	1	0	17	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1529-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	-0,000645814	2023-07-11T17:09:50,077+02:00	
2	2	1	0	17	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1529-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	-0,000645814	2023-07-11T17:09:50,310+02:00	
2	2	1	0	18	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1530-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	-0,000645814	2023-07-11T17:09:50,917+02:00	
2	2	1	0	18	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1530-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	-0,000645814	2023-07-11T17:09:51,217+02:00	
2	2	1	0	18	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1530-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	-0,000645814	2023-07-11T17:09:51,527+02:00	
2	2	1	0	19	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1531-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	-0,000645814	2023-07-11T17:09:52,137+02:00	
2	2	1	0	19	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1531-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	-0,000645814	2023-07-11T17:09:52,463+02:00	
